group_code,prescribed_specialization_code
"SZE","16-01-M/01"
"SZE","16-02-M/01"
"ST1","18-20-M/01"
"ST2","21-42-M/01"
"UTE","21-43-L/01"
"ST2","21-43-M/01"
"UTE","21-44-L/01"
"ST1","23-41-M/01"
"NTE","23-43-L/51"
"UTE","23-44-L/01"
"UTE","23-45-L/01"
"UTE","23-45-L/02"
"ST1","23-45-M/01"
"UTE","23-62-L/01"
"UTE","23-69-L/01"
"UTE","26-41-L/01"
"NTE","26-41-L/51"
"NTE","26-41-L/52"
"ST1","26-41-M/01"
"ST1","26-45-M/01"
"UTE","28-42-L/01"
"NTE","28-42-L/51"
"ST1","28-44-M/01"
"ST2","28-46-M/01"
"NTE","29-41-L/51"
"ST2","29-41-M/01"
"ST2","29-42-M/01"
"ST2","31-41-M/01"
"UTE","31-43-L/01"
"ST2","31-43-M/01"
"ST2","32-41-M/01"
"UTE","33-41-L/01"
"NTE","33-42-L/51"
"ST2","33-42-M/01"
"NOS","34-41-L/51"
"ST2","34-41-M/01"
"ST2","34-42-M/01"
"UOS","34-52-L/01"
"UOS","34-53-L/01"
"UOS","34-56-L/01"
"UOS","34-57-L/01"
"ST1","36-43-M/01"
"NTE","36-44-L/51"
"NTE","36-45-L/52"
"ST1","36-45-M/01"
"ST2","36-46-M/01"
"ST1","36-47-M/01"
"ST2","37-41-M/01"
"NOS","37-42-L/51"
"ST2","37-42-M/01"
"ST2","39-08-M/01"
"UTE","39-41-L/01"
"UTE","39-41-L/02"
"NTE","39-41-L/51"
"SZE","41-04-M/01"
"SZE","41-41-M/01"
"SZE","41-42-M/01"
"UOS","41-43-L/01"
"NOS","41-43-L/51"
"NOS","41-43-L/52"
"SZE","41-43-M/01"
"SZE","41-43-M/02"
"NOS","41-44-L/51"
"SZE","41-44-M/01"
"NOS","41-45-L/51"
"SZE","41-45-M/01"
"SZE","41-46-M/01"
"SZE","43-41-M/01"
"NOS","53-41-L/51"
"SZD","53-41-M/01"
"SZD","53-41-M/02"
"SZD","53-43-M/01"
"SZD","53-44-M/01"
"SZD","53-44-M/03"
"SHP","63-41-M/01"
"SEK","63-41-M/02"
"NOS","64-41-L/51"
"UOS","65-41-L/01"
"NOS","65-41-L/51"
"SHP","65-42-M/01"
"SHP","65-42-M/02"
"UOS","66-41-L/01"
"NOS","66-41-L/51"
"NOS","66-42-L/51"
"SHU","66-43-M/01"
"NOS","68-42-L/51"
"SHU","68-42-M/01"
"SHU","68-43-M/01"
"UOS","69-41-L/01"
"UOS","69-41-L/02"
"NOS","69-41-L/51"
"NOS","69-41-L/52"
"SZD","69-42-M/01"
"SHU","72-41-M/01"
"SHU","75-31-M/01"
"SHU","75-31-M/02"
"NOS","75-41-L/51"
"SHU","75-41-M/01"
"LYC","78-42-M/01"
"LYC","78-42-M/02"
"LYC","78-42-M/03"
"LYC","78-42-M/04"
"LYC","78-42-M/05"
"LYC","78-42-M/06"
"LYC","78-42-M/07"
"GY4","79-41-K/41"
"GY6","79-41-K/61"
"GY8","79-41-K/81"
"GY4","79-42-K/41"
"GY6","79-42-K/61"
"GY8","79-42-K/81"
"SUM","82-41-M/01"
"SUM","82-41-M/02"
"SUM","82-41-M/03"
"SUM","82-41-M/04"
"SUM","82-41-M/05"
"SUM","82-41-M/06"
"SUM","82-41-M/07"
"SUM","82-41-M/08"
"SUM","82-41-M/09"
"SUM","82-41-M/10"
"SUM","82-41-M/11"
"SUM","82-41-M/12"
"SUM","82-41-M/13"
"SUM","82-41-M/14"
"SUM","82-41-M/15"
"SUM","82-41-M/16"
"SUM","82-41-M/17"
"SUM","82-41-M/18"
"SUM","82-42-M/01"
"SUM","82-44-M/01"
"SUM","82-44-P/01"
"SUM","82-45-M/01"
"SUM","82-45-P/01"
"SUM","82-46-M/02"
"SUM","82-47-M/01"
"SUM","82-47-P/01"
"UOS","82-48-L/01"
"UOS","82-51-L/01"
"UOS","82-51-L/02"
"UOS","82-51-L/03"
"UOS","82-51-L/04"
"UOS","82-51-L/05"
"UOS","82-51-L/06"
"NOS","82-51-L/51"
