"zip_code","city","district_id"
"12846", "Praha", "1"
"36235","Abertamy","17"
"54232","Trutnov","28"
"67904","Adamov","9"
"28601","Adamov","59"
"37371","Adamov","2"
"79001","Bělá pod Pradědem","39"
"25765","Loket","55"
"37833","Nová Bystřice","4"
"36452","Verušičky","17"
"34201","Sušice","49"
"38901","Drahonice","7"
"28401","Malešov","59"
"46345","Pěnčín","31"
"59257","Rozsochy","23"
"56301","Albrechtice","47"
"73543","Albrechtice","35"
"51722","Albrechtice nad Orlicí","27"
"39816","Albrechtice nad Vltavou","5"
"46331","Frýdlant","31"
"79351","Břidličná","33"
"46843","Albrechtice v Jizerských horách","30"
"74255","Albrechtičky","36"
"38301","Záblatí","6"
"35002","Františkovy Lázně","16"
"39133","Jistebnice","8"
"66491","Ivančice","11"
"79804","Alojzov","41"
"46821","Pěnčín","30"
"34004","Železná Ruda","49"
"79397","Slezské Rudoltice","33"
"25901","Votice","55"
"46342","Frýdštejn","30"
"33901","Dolany","49"
"46373","Višňová","31"
"46331","Chrastava","31"
"36471","Andělská Hora","17"
"79331","Andělská Hora","33"
"56301","Anenská Studánka","47"
"35709","Krajková","18"
"34201","Dlouhá Ves","49"
"75101","Tovačov","42"
"37821","Drunče","4"
"46844","Josefův Důl","30"
"35002","Vojtanov","16"
"58601","Jihlava","20"
"39470","Kamenice nad Lipou","21"
"71100","Ostrava","38"
"69633","Archlebov","13"
"39501","Arneštovice","21"
"36251","Ostrov","17"
"58827","Arnolec","20"
"79351","Huzová","40"
"40714","Arnoltice","67"
"46401","Bulovka","31"
"35601","Březová","18"
"38501","Vimperk","6"
"50782","Pecka","25"
"38301","Křišťanov","6"
"25789","Heřmaničky","55"
"47301","Nový Bor","29"
"54372","Rudník","28"
"79383","Jindřichov","33"
"40002","Velké Chvojno","73"
"35201","Aš","16"
"25601","Benešov","55"
"39155","Vodice","8"
"25601","Struhařov","55"
"54701","Náchod","26"
"54101","Trutnov","28"
"75643","Kelč","76"
"34012","Kbel","50"
"67544","Babice","22"
"39501","Buřenice","21"
"38411","Babice","6"
"78501","Babice","40"
"35301","Teplá","16"
"25101","Babice","63"
"25753","Olbramovice","55"
"50351","Babice","24"
"58001","Okrouhlice","19"
"34525","Hostouň","48"
"68703","Babice","75"
"66401","Babice nad Svitavou","11"
"66484","Babice u Rosic","11"
"25167","Řehenice","55"
"25168","Řehenice","55"
"34101","Horažďovice","49"
"39470","Těmice","21"
"33101","Plasy","52"
"40327","Malečov","73"
"40002","Homole u Panny","73"
"67961","Letovice","9"
"34401","Babylon","48"
"50601","Mladějov","25"
"39301","Bácovice","21"
"50723","Bačalky","25"
"51801","Bačetín","27"
"67555","Bačice","22"
"58291","Bačkov","19"
"67532","Bačkovice","22"
"68001","Boskovice","9"
"28401","Černíny","59"
"27371","Beřovice","57"
"54701","Studnice","26"
"29401","Bakov nad Jizerou","61"
"79861","Rozstání","41"
"59401","Baliny","23"
"33165","Tis u Blatna","52"
"39131","Balkova Lhota","8"
"56802","Banín","46"
"68754","Bánov","75"
"25789","Ješetice","55"
"38001","Báňovice","4"
"67161","Bantice","15"
"25786","Neustupov","55"
"53002","Barchov","45"
"50401","Barchov","24"
"28163","Barchovice","58"
"50401","Měník","24"
"58301","Libice nad Doubravou","19"
"78963","Ruda nad Moravou","43"
"74254","Bartošovice","36"
"51761","Bartošovice v Orlických horách","27"
"50601","Jičíněves","25"
"58001","Bartoušov","19"
"71700","Ostrava","38"
"73934","Ostrava","38"
"79399","Vysoká","33"
"76701","Bařice-Velké Těšany","74"
"73901","Baška","34"
"50801","Bašnice","25"
"25065","Bašť","63"
"28123","Starý Kolín","58"
"58851","Batelov","20"
"50722","Střevač","25"
"54232","Batňovice","28"
"54237","Batňovice","28"
"54234","Batňovice","28"
"67505","Bochovice","22"
"38773","Bavorov","7"
"37341","Hluboká nad Vltavou","2"
"69201","Bavory","12"
"26751","Bavoryně","56"
"33032","Bdeněves","52"
"27054","Bdín","66"
"39175","Bečice","8"
"37501","Bečice","2"
"43526","Bečov","71"
"43001","Blatno","68"
"36464","Bečov nad Teplou","17"
"28143","Bečváry","58"
"79821","Bedihošť","41"
"27033","Jesenice","66"
"37842","Bednárec","4"
"37842","Bednáreček","4"
"39501","Pacov","21"
"78801","Oskava","43"
"67971","Bedřichov","9"
"46812","Bedřichov","30"
